wine_name,vintage,popularity,score,avg_price
"Domaine de la Janasse Cuvee Vieilles Vignes, Chateauneuf-du-Pape, France","
                            2007                    ","
                            271","
                            100/100                    ",191
"Quilceda Creek Cabernet Sauvignon, Columbia Valley, USA","
                            2007                    ","
                            276","
                            100/100                    ",252
"Quilceda Creek Cabernet Sauvignon, Columbia Valley, USA","
                            2005                    ","
                            276","
                            100/100                    ",271
"Quilceda Creek Cabernet Sauvignon, Columbia Valley, USA","
                            2003                    ","
                            276","
                            100/100                    ",283
"M. Chapoutier Ermitage Le Pavillon, Rhone, France","
                            2012                    ","
                            284","
                            100/100                    ",397
"M. Chapoutier Ermitage Le Pavillon, Rhone, France","
                            2011                    ","
                            284","
                            100/100                    ",329
"M. Chapoutier Ermitage Le Pavillon, Rhone, France","
                            2010                    ","
                            284","
                            100/100                    ",294
"M. Chapoutier Ermitage Le Pavillon, Rhone, France","
                            2009                    ","
                            284","
                            100/100                    ",311
"M. Chapoutier Ermitage Le Pavillon, Rhone, France","
                            2005                    ","
                            284","
                            100/100                    ",234
"Chateau Haut-Brion Blanc, Pessac-Leognan, France","
                            1989                    ","
                            347","
                            100/100                    ","2,034"
"Henri Bonneau Chateauneuf-du-Pape Reserve des Celestins, Rhone, France","
                            1990                    ","
                            360","
                            100/100                    ","2,775"
"Quinta do Noval Nacional Vintage Port, Portugal","
                            2011                    ","
                            363","
                            100/100                    ","1,531"
"Torbreck Runrig Shiraz - Viognier, Barossa Valley, Australia","
                            2010                    ","
                            368","
                            100/100                    ",215
"Domaine du Pegau Chateauneuf-du-Pape Cuvee da Capo, Rhone, France","
                            2010                    ","
                            372","
                            100/100                    ",420
"Domaine du Pegau Chateauneuf-du-Pape Cuvee da Capo, Rhone, France","
                            2007                    ","
                            372","
                            100/100                    ",400
"Domaine du Pegau Chateauneuf-du-Pape Cuvee da Capo, Rhone, France","
                            2003                    ","
                            372","
                            100/100                    ",566
"Domaine du Pegau Chateauneuf-du-Pape Cuvee da Capo, Rhone, France","
                            2000                    ","
                            372","
                            100/100                    ",525
"Duffau-Lagarrosse Chateau Beausejour, Saint-Emilion Grand Cru, France","
                            2010                    ","
                            387","
                            100/100                    ",353
"Duffau-Lagarrosse Chateau Beausejour, Saint-Emilion Grand Cru, France","
                            1990                    ","
                            387","
                            100/100                    ",924
"Chateau L'Evangile, Pomerol, France","
                            2009                    ","
                            122","
                            100/100                    ",357
"Chateau L'Evangile, Pomerol, France","
                            1961                    ","
                            122","
                            100/100                    ","3,819"
"Chateau Haut-Bailly, Pessac-Leognan, France","
                            2009                    ","
                            126","
                            100/100                    ",214
"Shafer Vineyards Hillside Select Cabernet Sauvignon, Stags Leap District, USA","
                            2012                    ","
                            131","
                            100/100                    ",303
"Shafer Vineyards Hillside Select Cabernet Sauvignon, Stags Leap District, USA","
                            2010                    ","
                            131","
                            100/100                    ",401
"Shafer Vineyards Hillside Select Cabernet Sauvignon, Stags Leap District, USA","
                            2007                    ","
                            131","
                            100/100                    ",393
"M. Chapoutier Ermitage Le Pavillon, Rhone, France","
                            2003                    ","
                            284","
                            100/100                    ",358
"M. Chapoutier Ermitage Le Pavillon, Rhone, France","
                            1995                    ","
                            284","
                            100/100                    ",234
"M. Chapoutier Ermitage Le Pavillon, Rhone, France","
                            1993                    ","
                            284","
                            100/100                    ",160
"M. Chapoutier Ermitage Le Pavillon, Rhone, France","
                            1990                    ","
                            284","
                            100/100                    ",459
"M. Chapoutier Ermitage Le Pavillon, Rhone, France","
                            1989                    ","
                            284","
                            100/100                    ",445
"Quinta do Noval Vintage Port, Portugal","
                            1997                    ","
                            288","
                            100/100                    ",209
"Colgin Cellars IX Estate Red, Napa Valley, USA","
                            2013                    ","
                            291","
                            100/100                    ",563
"Colgin Cellars IX Estate Red, Napa Valley, USA","
                            2010                    ","
                            291","
                            100/100                    ",511
"E. Guigal Cote Rotie La Landonne, Rhone, France","
                            1985                    ","
                            164","
                            100/100                    ","1,471"
"Spottswoode Family Estate Grown Cabernet Sauvignon, St. Helena, USA","
                            2010                    ","
                            170","
                            100/100                    ",286
"Spottswoode Family Estate Grown Cabernet Sauvignon, St. Helena, USA","
                            2002                    ","
                            170","
                            100/100                    ",287
"Dominio de Pingus 'Pingus', Ribera del Duero, Spain","
                            2012                    ","
                            185","
                            100/100                    ",954
"Chateau Larcis Ducasse, Saint-Emilion Grand Cru, France","
                            2005                    ","
                            395","
                            100/100                    ",225
"Clos Saint-Jean Deus-Ex Machina Chateauneuf-du-Pape, Rhone, France","
                            2010                    ","
                            423","
                            100/100                    ",292
"Clos Saint-Jean Deus-Ex Machina Chateauneuf-du-Pape, Rhone, France","
                            2007                    ","
                            423","
                            100/100                    ",375
"Clos Saint-Jean Deus-Ex Machina Chateauneuf-du-Pape, Rhone, France","
                            2005                    ","
                            423","
                            100/100                    ",308
"Domaine Francois Raveneau Les Clos, Chablis Grand Cru, France","
                            2002                    ","
                            429","
                            100/100                    ",862
"Domaine Jean-Louis Chave Hermitage Blanc, Rhone, France","
                            2009                    ","
                            434","
                            100/100                    ",277
"Clarendon Hills Astralis Shiraz, McLaren Vale, Australia","
                            2010                    ","
                            444","
                            100/100                    ",235
"Realm Cellars The Absurd Proprietary Red, Napa Valley, USA","
                            2013                    ","
                            470","
                            100/100                    ",690
"Chateau La Violette, Pomerol, France","
                            2010                    ","
                            485","
                            100/100                    ","1,353"
"Vega Sicilia Unico Gran Reserva, Ribera del Duero, Spain","
                            1962                    ","
                            35","
                            100/100                    ","1,165"
"Chateau Leoville Poyferre, Saint-Julien, France","
                            2009                    ","
                            36","
                            100/100                    ",229
"Chateau Pavie, Saint-Emilion Grand Cru, France","
                            2010                    ","
                            39","
                            100/100                    ",384
"Chateau Pavie, Saint-Emilion Grand Cru, France","
                            2009                    ","
                            39","
                            100/100                    ",364
"Chateau Pavie, Saint-Emilion Grand Cru, France","
                            2005                    ","
                            39","
                            100/100                    ",417
"Shafer Vineyards Hillside Select Cabernet Sauvignon, Stags Leap District, USA","
                            2002                    ","
                            131","
                            100/100                    ",467
"Shafer Vineyards Hillside Select Cabernet Sauvignon, Stags Leap District, USA","
                            2001                    ","
                            131","
                            100/100                    ",487
"Casanova di Neri Tenuta Nuova, Brunello di Montalcino DOCG, Italy","
                            2010                    ","
                            138","
                            100/100                    ",189
"Domaine Ponsot Clos de la Roche Grand Cru 'Cuvee Vieilles Vignes', Cote de Nuits, France","
                            1971                    ","
                            145","
                            100/100                    ",                    
"Montevertine Le Pergole Torte Toscana IGT, Tuscany, Italy","
                            1990                    ","
                            152","
                            100/100                    ",702
"Scarecrow Cabernet Sauvignon, Rutherford, USA","
                            2014                    ","
                            163","
                            100/100                    ",772
"Scarecrow Cabernet Sauvignon, Rutherford, USA","
                            2013                    ","
                            163","
                            100/100                    ",794
"Scarecrow Cabernet Sauvignon, Rutherford, USA","
                            2009                    ","
                            163","
                            100/100                    ",523
"Scarecrow Cabernet Sauvignon, Rutherford, USA","
                            2007                    ","
                            163","
                            100/100                    ","1,182"
"E. Guigal Cote Rotie La Landonne, Rhone, France","
                            2014                    ","
                            164","
                            100/100                    ",258
"Chateau de Beaucastel Chateauneuf-du-Pape Blanc Roussanne Vieilles Vignes, Rhone, France","
                            2009                    ","
                            512","
                            100/100                    ",228
"Bryant Family Vineyard Cabernet Sauvignon, Napa Valley, USA","
                            2001                    ","
                            528","
                            100/100                    ",304
"Bryant Family Vineyard Cabernet Sauvignon, Napa Valley, USA","
                            1997                    ","
                            528","
                            100/100                    ",864
"Le Clos du Caillou Chateauneuf-du-Pape La Reserve, Rhone, France","
                            2010                    ","
                            537","
                            100/100                    ",163
"Le Clos du Caillou Chateauneuf-du-Pape La Reserve, Rhone, France","
                            2007                    ","
                            537","
                            100/100                    ",160
"Colgin Cellars IX Estate Red, Napa Valley, USA","
                            2007                    ","
                            291","
                            100/100                    ",551
"Colgin Cellars IX Estate Red, Napa Valley, USA","
                            2006                    ","
                            291","
                            100/100                    ",511
"Colgin Cellars IX Estate Red, Napa Valley, USA","
                            2002                    ","
                            291","
                            100/100                    ",634
"Domaine Leroy Chambertin Grand Cru, Cote de Nuits, France","
                            1990                    ","
                            320","
                            100/100                    ","8,185"
