wine_name,vintage,popularity,score,avg_price
"Chateau Leoville-Las Cases 'Grand Vin de Leoville', Saint-Julien, France","
                            2008                    ","
                            17","
                            19/20                    ",156
"Denis Dubourdieu Chateau Doisy-Daene L'Extravagant de Doisy-Daene, Sauternes, France","
                            2015                    ","
                            2,418","
                            20/20                    ",337
"Chateau Leoville-Las Cases 'Grand Vin de Leoville', Saint-Julien, France","
                            2000                    ","
                            17","
                            19/20                    ",306
"Chateau Leoville-Las Cases 'Grand Vin de Leoville', Saint-Julien, France","
                            1996                    ","
                            17","
                            19/20                    ",299
"Domaine Marcel Deiss Altenberg de Bergheim, Alsace Grand Cru, France","
                            2008                    ","
                            2,771","
                            20/20                    ",76
"Domaine Marcel Deiss Altenberg de Bergheim, Alsace Grand Cru, France","
                            2005                    ","
                            2,771","
                            20/20                    ",104
"Domaine Zind-Humbrecht Riesling Clos Windsbuhl, Alsace, France","
                            2007                    ","
                            6,089","
                            20/20                    ",60
"Veuve Clicquot Ponsardin Cave Privee Collection Brut Rose, Champagne, France","
                            1979                    ","
                            11,193","
                            20/20                    ",431
"Chateau Montrose, Saint-Estephe, France","
                            2014                    ","
                            19","
                            19/20                    ",122
"Chateau Cos d'Estournel, Saint-Estephe, France","
                            2008                    ","
                            20","
                            19/20                    ",125
"Chateau Pichon Longueville Comtesse de Lalande, Pauillac, France","
                            2015                    ","
                            21","
                            19/20                    ",150
"Domaine Zind-Humbrecht Pinot Gris Clos Windsbuhl Selection de Grains Nobles, Alsace, France","
                            2010                    ","
                            31,836","
                            20/20                    ",140
"M. Chapoutier Condrieu Coteaux de Chery, Rhone, France","
                            2012                    ","
                            37,491","
                            20/20                    ",113
"Domaine Zind-Humbrecht Gewurztraminer Clos Windsbuhl Vendange Tardive, Alsace, France","
                            2005                    ","
                            90,752","
                            20/20                    ",78
"Albert Mann Pinot Gris Altenbourg Le Tri Selection de Grains Nobles, Alsace, France","
                            2008                    ","
                            94,568","
                            20/20                    ",88
"Leon Beyer Gewurztraminer Quintessence Selection de Grains Nobles, Alsace, France","
                            1998                    ","
                            145,320","
                            20/20                    ",87
"Chateau Palmer, Margaux, France","
                            2010                    ","
                            24","
                            19/20                    ",331
"Chateau Angelus, Saint-Emilion Grand Cru, France","
                            2015                    ","
                            27","
                            19/20                    ",344
"Chateau Angelus, Saint-Emilion Grand Cru, France","
                            2005                    ","
                            27","
                            19/20                    ",478
"Chateau Pichon-Longueville au Baron de Pichon-Longueville, Pauillac, France","
                            2015                    ","
                            29","
                            19/20                    ",145
"Chateau Ducru-Beaucaillou, Saint-Julien, France","
                            2014                    ","
                            31","
                            19/20                    ",130
"Chateau Mouton Rothschild, Pauillac, France","
                            2009                    ","
                            1","
                            19/20                    ",885
"Chateau Mouton Rothschild, Pauillac, France","
                            2005                    ","
                            1","
                            19/20                    ",683
"Chateau Lafite Rothschild, Pauillac, France","
                            2010                    ","
                            2","
                            19/20                    ","1,002"
"Chateau Margaux, Margaux, France","
                            2005                    ","
                            5","
                            19/20                    ",849
"Chateau Latour, Pauillac, France","
                            2010                    ","
                            6","
                            19/20                    ","1,318"
"Chateau Ducru-Beaucaillou, Saint-Julien, France","
                            2009                    ","
                            31","
                            19/20                    ",321
